Year,Type,Country,Activity,Sex,Fatal,Sharks,Month
2013,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,aug
2013,UNPROVOKED,SOUTH AFRICA,Attempting to free the shark,Male,NO,Other sharks,aug
2013,UNPROVOKED,USA,Fishing,Male,NO,Other sharks,aug
2013,UNPROVOKED,BAHAMAS,Spearfishing,Male,NO,Other sharks,jul
2013,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,jul
2013,UNPROVOKED,BAHAMAS,Cleaning fish,Male,NO,Other sharks,jul
2013,BOAT,USA,Kayaking / Fishing,Male,NO,White shark,jun
2013,UNPROVOKED,USA,Swimming,Male,NO,Other sharks,jun
2013,UNPROVOKED,USA,Swimming,Male,NO,Other sharks,jun
2013,UNPROVOKED,USA,Swimming,Male,NO,Other sharks,jun
2013,UNPROVOKED,USA,Boogie Boarding,Female,NO,Other sharks,jun
2013,PROVOKED,USA,Fishing for sharks,Male,NO,Other sharks,jun
2013,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,Other sharks,jun
2013,UNPROVOKED,USA,Diving,Male,NO,Other sharks,may
2013,UNPROVOKED,ECUADOR,Surfing,Male,NO,Other sharks,may
2013,UNPROVOKED,REUNION,Body boarding,Male,YES,Other sharks,may
2013,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,may
2013,PROVOKED,AUSTRALIA,Fishing,Male,NO,Other sharks,apr
2013,UNPROVOKED,MEXICO,Swimming,Female,NO,Other sharks,apr
2013,UNPROVOKED,AUSTRALIA,Fishing,Male,NO,Other sharks,apr
2013,UNPROVOKED,USA,Playing in the surf,Male,NO,Other sharks,apr
